duration_conf,init_conf,jours_confinement,nbIr,nbR,nbS,nb_confinement,pic_max,relesae_conf,seed
45.17630628810734,1.0,34.25,0.0,197.0,3.0,3.0,155.0,43.857962283781255,1731963759
45.17630628810734,1.0,46.0,0.0,196.0,4.0,4.0,77.0,43.857962283781255,593701180
45.17630628810734,1.0,34.5,0.0,192.0,8.0,3.0,147.0,43.857962283781255,733126992
45.17630628810734,1.0,43.5,0.0,186.0,14.0,4.0,107.0,43.857962283781255,-537590602
45.17630628810734,1.0,34.5,0.0,188.0,12.0,3.0,127.0,43.857962283781255,-671790530
45.17630628810734,1.0,46.0,0.0,196.0,4.0,4.0,118.0,43.857962283781255,1217420355
45.17630628810734,1.0,23.0,0.0,194.0,6.0,2.0,148.0,43.857962283781255,-588120405
45.17630628810734,1.0,34.5,0.0,193.0,7.0,3.0,142.0,43.857962283781255,1921603755
45.17630628810734,1.0,34.5,0.0,194.0,6.0,3.0,144.0,43.857962283781255,-361256396
45.17630628810734,1.0,34.5,0.0,194.0,6.0,3.0,139.0,43.857962283781255,760196748
45.17630628810734,1.0,32.5,0.0,179.0,21.0,3.0,124.0,43.857962283781255,1729358732
45.17630628810734,1.0,37.75,0.0,187.0,13.0,4.0,131.0,43.857962283781255,1488094723
45.17630628810734,1.0,38.75,0.0,190.0,10.0,4.0,123.0,43.857962283781255,-607326897
45.17630628810734,1.0,34.5,0.0,196.0,4.0,3.0,143.0,43.857962283781255,727223003
45.17630628810734,1.0,57.5,0.0,181.0,19.0,5.0,101.0,43.857962283781255,935034859
45.17630628810734,1.0,34.5,0.0,183.0,17.0,3.0,123.0,43.857962283781255,-1060026253
45.17630628810734,1.0,34.5,0.0,180.0,20.0,3.0,122.0,43.857962283781255,-1150081157
45.17630628810734,1.0,34.5,0.0,189.0,11.0,3.0,131.0,43.857962283781255,-253734454
45.17630628810734,1.0,46.0,0.0,189.0,11.0,4.0,112.0,43.857962283781255,-1260124348
45.17630628810734,1.0,34.5,0.0,181.0,19.0,3.0,125.0,43.857962283781255,-1121915736
45.17630628810734,1.0,54.5,0.0,195.0,5.0,5.0,124.0,43.857962283781255,-1776716211
45.17630628810734,1.0,34.5,0.0,170.0,30.0,3.0,123.0,43.857962283781255,840365081
45.17630628810734,1.0,34.5,0.0,194.0,6.0,3.0,123.0,43.857962283781255,2004420450
45.17630628810734,1.0,34.5,0.0,189.0,11.0,3.0,128.0,43.857962283781255,-561251894
45.17630628810734,1.0,34.5,0.0,191.0,9.0,3.0,124.0,43.857962283781255,477557950
45.17630628810734,1.0,46.0,0.0,193.0,7.0,4.0,144.0,43.857962283781255,-1517416767
45.17630628810734,1.0,34.5,0.0,188.0,12.0,3.0,137.0,43.857962283781255,-2020234250
45.17630628810734,1.0,46.0,0.0,187.0,13.0,4.0,110.0,43.857962283781255,-280198088
45.17630628810734,1.0,34.5,0.0,184.0,16.0,3.0,116.0,43.857962283781255,93305042
45.17630628810734,1.0,34.5,0.0,179.0,21.0,3.0,123.0,43.857962283781255,1094656460
45.17630628810734,1.0,45.75,0.0,187.0,13.0,4.0,132.0,43.857962283781255,1380421313
45.17630628810734,1.0,34.5,0.0,187.0,13.0,3.0,114.0,43.857962283781255,1391563189
45.17630628810734,1.0,23.0,0.0,186.0,14.0,2.0,132.0,43.857962283781255,-1477703176
45.17630628810734,1.0,34.5,0.0,192.0,8.0,3.0,122.0,43.857962283781255,-1203539560
45.17630628810734,1.0,34.5,0.0,183.0,17.0,3.0,143.0,43.857962283781255,-208099068
45.17630628810734,1.0,39.0,0.0,188.0,12.0,4.0,128.0,43.857962283781255,128172286
45.17630628810734,1.0,34.5,0.0,192.0,8.0,3.0,138.0,43.857962283781255,101414466
45.17630628810734,1.0,34.5,0.0,174.0,26.0,3.0,123.0,43.857962283781255,2107480001
45.17630628810734,1.0,34.5,0.0,190.0,10.0,3.0,136.0,43.857962283781255,-744062187
45.17630628810734,1.0,26.0,0.0,194.0,6.0,3.0,142.0,43.857962283781255,741387373
45.17630628810734,1.0,46.0,0.0,191.0,9.0,4.0,103.0,43.857962283781255,1503279513
45.17630628810734,1.0,46.0,0.0,190.0,10.0,4.0,110.0,43.857962283781255,431092015
45.17630628810734,1.0,34.75,0.0,180.0,20.0,4.0,126.0,43.857962283781255,-1344961260
45.17630628810734,1.0,34.5,0.0,180.0,20.0,3.0,109.0,43.857962283781255,989102310
45.17630628810734,1.0,34.5,0.0,182.0,18.0,3.0,117.0,43.857962283781255,424671126
45.17630628810734,1.0,46.0,0.0,186.0,14.0,4.0,129.0,43.857962283781255,1536333073
45.17630628810734,1.0,34.5,0.0,192.0,8.0,3.0,133.0,43.857962283781255,74243541
