"[run number]","SCENARIO","Nombre-de-cas-au-départ","R0-fixé","probability-asymptomatic-infection","[step]","MaxI%","nb-non-S%","epidemic-duration-final"
"299","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"300","Laisser-faire","1","0.5","0.8","72","0.05","0.05","18"
"301","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"302","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"298","Laisser-faire","1","0.5","0.8","96","0.1","0.1","24"
"304","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"305","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"306","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"307","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"308","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"309","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"303","Laisser-faire","1","1","0.1","104","0.15","0.15","26"
"310","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"312","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"314","Laisser-faire","1","1","0.1","80","0.1","0.1","20"
"316","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"317","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"319","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"311","Laisser-faire","1","1","0.1","108","0.15","0.15","27"
"320","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"321","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"318","Laisser-faire","1","1","0.1","95","0.1","0.1","24"
"324","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"327","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"313","Laisser-faire","1","1","0.1","147","0.2","0.25","37"
"322","Laisser-faire","1","1","0.1","112","0.15","0.15","28"
"328","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"332","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"334","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"335","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"326","Laisser-faire","1","1","0.1","128","0.1","0.15","32"
"336","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"330","Laisser-faire","1","1","0.1","116","0.15","0.15","29"
"331","Laisser-faire","1","1","0.1","116","0.15","0.15","29"
"329","Laisser-faire","1","1","0.1","138","0.05","0.1","35"
"339","Laisser-faire","1","1","0.1","97","0.1","0.1","24"
"342","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"338","Laisser-faire","1","1","0.1","112","0.1","0.1","28"
"344","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"345","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"340","Laisser-faire","1","1","0.1","122","0.1","0.1","31"
"325","Laisser-faire","1","1","0.1","204","0.15","0.35000000000000003","51"
"346","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"347","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"315","Laisser-faire","1","1","0.1","263","0.4","0.8999999999999999","66"
"333","Laisser-faire","1","1","0.1","184","0.15","0.25","46"
"348","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"341","Laisser-faire","1","1","0.1","126","0.15","0.15","32"
"337","Laisser-faire","1","1","0.1","164","0.15","0.2","41"
"349","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"343","Laisser-faire","1","1","0.1","126","0.1","0.1","32"
"350","Laisser-faire","1","1","0.1","80","0.1","0.1","20"
"352","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"354","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"355","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"323","Laisser-faire","1","1","0.1","280","1.0999999999999999","1.4000000000000001","70"
"358","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"360","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"356","Laisser-faire","1","1","0.1","98","0.15","0.15","25"
"351","Laisser-faire","1","1","0.1","116","0.1","0.1","29"
"362","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"363","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"364","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"357","Laisser-faire","1","1","0.1","104","0.15","0.15","26"
"353","Laisser-faire","1","1","0.1","125","0.2","0.2","31"
"365","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"366","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"368","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"369","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"359","Laisser-faire","1","1","0.1","124","0.1","0.1","31"
"367","Laisser-faire","1","1","0.1","86","0.1","0.1","22"
"370","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"361","Laisser-faire","1","1","0.1","133","0.05","0.1","33"
"371","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"372","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"376","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"378","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"379","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"380","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"374","Laisser-faire","1","1","0.1","104","0.1","0.1","26"
"381","Laisser-faire","1","1","0.1","81","0.1","0.1","20"
