"BehaviorSpace results (NetLogo 6.1.1)"
"CoVprehension_backtracking_V10VersionSite_180520.nlogo"
"Explo_V10_Scenario2"
"05/19/2020 10:06:53:371 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Nombre-de-cas-au-départ","R0-fixé","probability-asymptomatic-infection","Temps-d'attente-pour-la-réalisation-du-test","Probabilité-que-le-test-soit-efficace","Probabilité-de-respect-du-confinement","SCENARIO","[step]","MaxI%","nb-non-S%","epidemic-duration-final","Max-Conf%","total-population-locked%","population-tested%","total-nb-tests","total-nb-contagious","contagious-detected%","contagious-lockeddown%","proportion-non-contagious-lockeddown%","proportion-total-contagious-lockeddown-tracked","proportion-total-contagious-lockeddown-symptom"
"142","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"119","1","0.5","0.3","0","0.95","1","Confinement simple","182","0.1","0.15","46","0.25","0.25","0.05","1","3","33.33333333333333","100","57.14285714285714","0","100"
"138","1","0.5","0.3","0","0.95","1","Confinement simple","93","0.1","0.1","23","0.15","0.15","0.05","1","2","50","100","50","0","100"
"144","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"133","1","0.5","0.3","0","0.95","1","Confinement simple","131","0.1","0.15","33","0.3","0.3","0.05","1","3","33.33333333333333","66.66666666666666","71.42857142857143","0","100"
"145","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"146","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.1","0.1","0.05","1","1","100","100","50","0","100"
"141","1","0.5","0.3","0","0.95","1","Confinement simple","108","0.15","0.15","27","0.25","0.25","0.05","1","3","33.33333333333333","100","57.14285714285714","0","100"
"147","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.05","0.05","0.05","1","1","100","100","0","0","100"
"148","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.35000000000000003","0.35000000000000003","0.05","1","1","100","100","85.71428571428571","0","100"
"151","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"152","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.1","0.1","0.05","1","1","100","100","50","0","100"
"153","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"155","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"156","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"157","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.2","0.2","0.05","1","1","100","100","75","0","100"
"158","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
