"BehaviorSpace results (NetLogo 6.1.1)"
"CoVprehension_backtracking_V11VersionSite_250520.nlogo"
"Explo_V11_Scenario-1-2"
"05/26/2020 00:09:04:623 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Nombre-de-cas-au-départ","R0-fixé","probability-asymptomatic-infection","Temps-d'attente-pour-la-réalisation-du-test","Probabilité-que-le-test-soit-efficace","Probabilité-de-respect-du-confinement","fixed-seed?","SCENARIO","Repartition-initiale-des-malades","[step]","MaxI%","nb-non-S%","epidemic-duration-final","Max-Conf%","total-population-locked%"
"130","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","194","1.15","1.55","49","0","0"
"73","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","699","25.8","65.64999999999999","175","0","0"
"137","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","130","1.2","1.25","33","0","0"
"136","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","154","1.5","1.6","39","0","0"
"131","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","216","1.2","1.8499999999999999","54","0","0"
"138","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","147","0.8999999999999999","1.0999999999999999","37","0","0"
"132","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","219","1.2","1.55","55","0","0"
"139","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","154","1","1.05","39","0","0"
"135","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","220","1.15","1.35","55","0","0"
"140","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","161","1.05","1.3","40","0","0"
"145","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","140","1.5","1.6","35","0","0"
"144","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","172","1.0999999999999999","1.5","43","0","0"
"142","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","188","1.15","1.3","47","0","0"
"146","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","168","1.0999999999999999","1.15","42","0","0"
"150","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","144","1.0999999999999999","1.4000000000000001","36","0","0"
"134","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","307","1.0999999999999999","1.9","77","0","0"
"141","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","222","1.2","1.8499999999999999","56","0","0"
"149","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","185","1.25","1.7999999999999998","46","0","0"
"147","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","204","1.0999999999999999","1.35","51","0","0"
"154","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","140","1","1.15","35","0","0"
"148","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","214","1.15","1.5","54","0","0"
"152","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","196","1.2","1.55","49","0","0"
"143","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","275","1.35","2.1","69","0","0"
"157","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","136","1.05","1.25","34","0","0"
"156","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","148","1.05","1.2","37","0","0"
"153","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","196","1.15","1.6","49","0","0"
"151","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","248","1.2","1.6500000000000001","62","0","0"
"155","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","176","1.0999999999999999","1.6","44","0","0"
"158","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","147","1","1.15","37","0","0"
"161","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","164","1.2","1.4000000000000001","41","0","0"
"163","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","136","1","1.15","34","0","0"
"164","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","140","1","1.05","35","0","0"
"165","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","136","1.15","1.25","34","0","0"
"160","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","194","1","1.2","49","0","0"
"162","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","180","1.05","1.15","45","0","0"
"166","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","160","1.3","1.35","40","0","0"
"171","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","112","1.0999999999999999","1.0999999999999999","28","0","0"
"159","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","228","1.05","1.4500000000000002","57","0","0"
"168","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","142","1.15","1.3","36","0","0"
"170","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","145","0.95","1","36","0","0"
"174","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","106","1.0999999999999999","1.0999999999999999","27","0","0"
